r        f_0 
0.000000   2.676605 
0.000010   5.838939 
0.000020  12.238039 
0.000030  24.644383 
0.000040  47.681764 
0.000050  88.636968 
0.000060 158.309032 
0.000070 271.659385 
0.000080 447.890606 
0.000090 709.491857 
0.000100 1079.819330 
0.000110 1579.003166 
0.000120 2218.416694 
0.000130 2994.549313 
0.000140 3883.721100 
0.000150 4839.414490 
0.000160 5793.831055 
0.000170 6664.492058 
0.000180 7365.402806 
0.000190 7820.853880 
0.000200 7978.845608 
0.000210 7820.853880 
0.000220 7365.402806 
0.000230 6664.492058 
0.000240 5793.831055 
0.000250 4839.414490 
0.000260 3883.721100 
0.000270 2994.549313 
0.000280 2218.416694 
0.000290 1579.003166 
0.000300 1079.819330 
0.000310 709.491857 
0.000320 447.890606 
0.000330 271.659385 
0.000340 158.309032 
0.000350  88.636968 
0.000360  47.681764 
0.000370  24.644383 
0.000380  12.238039 
0.000390   5.838939 
0.000400   2.676605 
