r        f_0 
0.000000   0.000000 
0.000005   0.000000 
0.000010   0.000000 
0.000015   0.000000 
0.000020   0.000000 
0.000025   0.000000 
0.000030   0.000000 
0.000035   0.000000 
0.000040   0.000000 
0.000045   0.000000 
0.000050   0.000000 
0.000055   0.000000 
0.000060   0.000000 
0.000065   0.000000 
0.000070   0.000000 
0.000075   0.000000 
0.000080   0.000000 
0.000085   0.000000 
0.000090   0.000000 
0.000095   0.000000 
0.000100   0.000000 
0.000105   0.000001 
0.000110   0.000003 
0.000115   0.000018 
0.000120   0.000085 
0.000125   0.000353 
0.000130   0.001305 
0.000135   0.004374 
0.000140   0.013390 
0.000145   0.037740 
0.000150   0.098638 
0.000155   0.240547 
0.000160   0.550432 
0.000165   1.187738 
0.000170   2.427712 
0.000175   4.719386 
0.000180   8.757272 
0.000185  15.562551 
0.000190  26.565812 
0.000195  43.679793 
0.000200  69.348044 
0.000205 106.554649 
0.000210 158.781811 
0.000215 229.906200 
0.000220 324.031294 
0.000225 445.260600 
0.000230 597.424601 
0.000235 783.781273 
0.000240 1006.715015 
0.000245 1267.461029 
0.000250 1565.881223 
0.000255 1900.313806 
0.000260 2267.512303 
0.000265 2662.681743 
0.000270 3079.611180 
0.000275 3510.893525 
0.000280 3948.216739 
0.000285 4382.705450 
0.000290 4805.289212 
0.000295 5207.073141 
0.000300 5579.688203 
0.000305 5915.601647 
0.000310 6208.372549 
0.000315 6452.842424 
0.000320 6645.256135 
0.000325 6783.313111 
0.000330 6866.153169 
0.000335 6894.284505 
0.000340 6869.463797 
0.000345 6794.539679 
0.000350 6673.271288 
0.000355 6510.133199 
0.000360 6310.117117 
0.000365 6078.539233 
0.000370 5820.860508 
0.000375 5542.525327 
0.000380 5248.822220 
0.000385 4944.768701 
0.000390 4635.020854 
0.000395 4323.807062 
0.000400 4014.884394 
0.000405 3711.515427 
0.000410 3416.462874 
0.000415 3131.999157 
0.000420 2859.927993 
0.000425 2601.615170 
0.000430 2358.025877 
0.000435 2129.766227 
0.000440 1917.126907 
0.000445 1720.127247 
0.000450 1538.558305 
0.000455 1372.023895 
0.000460 1219.978775 
0.000465 1081.763452 
0.000470 956.635303 
0.000475 843.795882 
0.000480 742.414426 
0.000485 651.647706 
0.000490 570.656422 
0.000495 498.618436 
0.000500 434.739133 
0.000505 378.259254 
0.000510 328.460512 
0.000515 284.669324 
0.000520 246.258950 
0.000525 212.650324 
0.000530 183.311832 
0.000535 157.758258 
0.000540 135.549090 
0.000545 116.286372 
0.000550  99.612228 
0.000555  85.206194 
0.000560  72.782436 
0.000565  62.086955 
0.000570  52.894823 
0.000575  45.007510 
0.000580  38.250320 
0.000585  32.469982 
0.000590  27.532387 
0.000595  23.320502 
0.000600  19.732444 
