,,,,,,,,,Size classes [drop diameter in µm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record Number,Sample Name,Measurement Date Time,Dx (10),Dx (50),Dx (90),Laser Obscuration,Stirrer Speed Demand,D [4;3],0.01,0.0114,0.0129,0.0147,0.0167,0.0189,0.0215,0.0244,0.0278,0.0315,0.0358,0.0407,0.0463,0.0526,0.0597,0.0679,0.0771,0.0876,0.0995,0.113,0.128,0.146,0.166,0.188,0.214,0.243,0.276,0.314,0.357,0.405,0.46,0.523,0.594,0.675,0.767,0.872,0.991,1.13,1.28,1.45,1.65,1.88,2.13,2.42,2.75,3.12,3.55,4.03,4.58,5.21,5.92,6.72,7.64,8.68,9.86,11.2,12.7,14.5,16.4,18.7,21.2,24.1,27.4,31.1,35.3,40.1,45.6,51.8,58.9,66.9,76,86.4,98.1,111,127,144,163,186,211,240,272,310,352,400,454,516,586,666,756,859,976,1110,1260,1430,1630,1850,2100,2390,2710,3080,3500
1,Gamma 170721 pump lv.2 double a,7/21/2017 11:50,51.1,113,183,0,3000,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.12,0.2,0.32,0.46,0.6,0.73,0.84,0.91,0.94,0.96,1.04,1.27,1.74,2.56,3.79,5.39,7.24,9.11,10.67,11.58,11.55,10.44,8.37,5.71,3.03,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Gamma 170721 pump lv.2 double a,7/21/2017 11:51,38.6,95.5,163,0,3000,98.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.13,0.21,0.31,0.43,0.55,0.68,0.8,0.91,1,1.08,1.2,1.4,1.74,2.31,3.17,4.32,5.73,7.29,8.79,9.97,10.59,10.44,9.45,7.7,5.49,3.23,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Gamma 170721 pump lv.2 double a,7/21/2017 11:52,32.7,82.4,143,0,3000,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.15,0.23,0.33,0.44,0.56,0.68,0.8,0.9,1.01,1.13,1.31,1.57,1.99,2.61,3.48,4.6,5.94,7.36,8.7,9.74,10.24,10.03,9.06,7.41,5.34,3.22,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Gamma 170721 pump lv.2 double a,7/21/2017 11:53,29.6,74,130,0,3000,77.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.14,0.22,0.31,0.42,0.53,0.64,0.75,0.85,0.96,1.08,1.26,1.54,1.96,2.57,3.42,4.5,5.77,7.13,8.43,9.47,10.04,9.97,9.18,7.72,5.78,3.69,1.59,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Gamma 170721 pump lv.2 double a,7/21/2017 11:54,27.8,68.4,121,0,3000,71.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.19,0.28,0.39,0.5,0.61,0.71,0.8,0.88,0.99,1.13,1.37,1.74,2.3,3.08,4.1,5.32,6.67,8,9.13,9.86,10.02,9.5,8.29,6.54,4.52,2.49,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gamma 170721 pump lv.2 double a,7/21/2017 11:55,26.3,64.1,113,0,3000,67.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.14,0.24,0.34,0.45,0.56,0.66,0.75,0.82,0.91,1.02,1.2,1.5,1.98,2.66,3.58,4.72,6.03,7.38,8.62,9.56,10,9.81,8.94,7.45,5.55,3.53,1.51,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Gamma 170721 pump lv.2 double a,7/21/2017 11:56,25.3,61.1,109,0,3000,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.18,0.28,0.39,0.5,0.6,0.69,0.76,0.83,0.91,1.04,1.26,1.63,2.19,2.99,4.02,5.25,6.6,7.91,9.03,9.76,9.94,9.47,8.36,6.73,4.8,2.87,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Gamma 170721 pump lv.2 double a,7/21/2017 11:57,24.5,58.4,104,0,3000,61.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.21,0.32,0.43,0.54,0.64,0.72,0.78,0.84,0.92,1.07,1.34,1.77,2.42,3.32,4.45,5.76,7.12,8.39,9.38,9.91,9.85,9.15,7.84,6.08,4.15,2.2,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Gamma 170721 pump lv.2 double a,7/21/2017 11:58,23.8,56.5,101,0,3000,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.14,0.24,0.35,0.47,0.57,0.66,0.73,0.78,0.83,0.92,1.09,1.4,1.9,2.63,3.6,4.8,6.14,7.49,8.69,9.55,9.9,9.65,8.76,7.33,5.53,3.73,1.92,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
